time,messages_waiting,running_tasks,desired_tasks
18:23:50,0,1,1
18:24:05,0,1,1
18:24:22,0,1,1
18:24:36,0,1,1
18:24:50,9,1,1
18:25:04,9,1,1
18:25:18,23,1,1
18:25:31,21,1,1
18:25:45,37,1,1
18:25:59,45,1,1
18:26:13,52,1,1
18:26:27,56,1,1
18:26:40,79,1,1
18:26:54,61,1,1
18:27:08,146,1,1
18:27:22,208,1,1
18:27:35,88,1,1
18:27:49,353,1,1
18:28:03,418,1,1
18:28:17,450,1,1
18:28:30,560,1,1
18:28:44,418,1,1
18:28:58,493,1,1
18:29:12,740,1,1
18:29:26,919,1,1
18:29:41,1050,1,1
18:29:55,791,1,1
18:30:08,1322,1,1
18:30:22,1401,1,1
18:30:36,1322,1,1
18:30:50,1523,1,1
18:31:04,1450,1,1
18:31:18,1577,1,1
18:31:31,2111,1,1
18:31:45,1775,1,1
18:31:59,1952,1,1
18:32:12,2529,1,1
18:32:26,2278,1,1
18:32:40,2738,1,1
18:32:54,2959,1,1
18:33:08,2785,1,1
18:33:23,3228,1,1
18:33:36,3215,1,1
18:33:51,3979,1,1
18:34:05,4238,1,1
18:34:20,3979,1,1
18:34:34,4238,1,1
18:34:47,4987,1,1
18:35:01,4741,1,1
18:35:15,5227,1,1
18:35:29,4987,1,1
18:35:42,5131,1,1
18:35:56,5191,1,1
18:36:10,5191,1,1
18:36:24,5021,1,1
18:36:37,4901,1,1
18:36:51,4961,1,1
18:37:05,4851,1,1
18:37:19,4871,1,1
18:37:32,4671,1,1
18:37:46,4611,1,1
18:38:00,4611,1,1
18:38:14,4501,1,1
18:38:28,4671,1,1
18:38:41,4441,1,1
