time,messages_waiting,running_tasks,desired_tasks
23:00:23,3912,1,1
23:00:38,3842,1,1
23:00:54,3732,1,10
23:01:09,3682,1,10
23:01:25,3672,1,10
23:01:41,5962,7,10
23:01:58,5932,10,10
23:02:13,8012,10,10
23:02:28,7892,10,10
23:02:44,9752,10,10
23:02:59,10572,10,10
23:03:12,11122,10,10
23:03:26,8842,10,10
23:03:40,11372,10,10
23:03:54,12159,10,10
23:04:07,14392,10,10
23:04:23,12892,10,10
23:04:37,14582,10,10
23:04:51,16882,10,10
23:05:05,17472,10,10
23:05:19,17472,10,10
23:05:34,18452,10,10
23:05:50,16882,10,10
23:06:04,20122,10,10
23:06:19,21292,10,10
23:06:33,21042,10,10
23:06:48,21242,10,10
23:07:04,19342,10,10
23:07:19,19232,10,10
23:07:35,18042,10,10
23:07:50,19342,10,10
23:08:05,16762,10,10
23:08:19,16382,10,10
